Round,Indicator,Group,Subgroup,Sample Size,Response,Percent,Standard Error,Suppression,Significant 1,Significant 2
1,Reduced access to hearing care,Total,Total,6676,Total,,,,,
1,Reduced access to hearing care,Total,Total,,For any reason,3.1,0.3,,,
1,Reduced access to hearing care,Total,Total,,Due to pandemic,2.1,0.3,,,
1,Reduced access to hearing care,Age group,18-44 years,2588,Total,,,,,
1,Reduced access to hearing care,Age group,18-44 years,,For any reason,2.4,0.4,,,
1,Reduced access to hearing care,Age group,18-44 years,,Due to pandemic,1.4,0.4,,,
1,Reduced access to hearing care,Age group,45-64 years,2323,Total,,,,,
1,Reduced access to hearing care,Age group,45-64 years,,For any reason,3.3,0.4,,,
1,Reduced access to hearing care,Age group,45-64 years,,Due to pandemic,2.1,0.4,,,
1,Reduced access to hearing care,Age group,65 years and over,1765,Total,,,,,
1,Reduced access to hearing care,Age group,65 years and over,,For any reason,4.3,0.7,,,
1,Reduced access to hearing care,Age group,65 years and over,,Due to pandemic,3.6,0.6,,,
1,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,4430,Total,,,,,
1,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,,For any reason,3,0.3,,,
1,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,2,0.3,,,
1,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,799,Total,,,,,
1,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,,For any reason,3.2,0.7,,,
1,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,2.2,0.7,,,
1,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,520,Total,,,,,
1,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,,For any reason,3,1,,,
1,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,1.3,0.4,,,
1,Reduced access to hearing care,Race/Hispanic origin,Hispanic,927,Total,,,,,
1,Reduced access to hearing care,Race/Hispanic origin,Hispanic,,For any reason,3.6,0.7,,,
1,Reduced access to hearing care,Race/Hispanic origin,Hispanic,,Due to pandemic,2.7,0.7,,,
1,Reduced access to hearing care,Sex,Male,2926,Total,,,,,
1,Reduced access to hearing care,Sex,Male,,For any reason,3,0.4,,,
1,Reduced access to hearing care,Sex,Male,,Due to pandemic,2,0.3,,,
1,Reduced access to hearing care,Sex,Female,3750,Total,,,,,
1,Reduced access to hearing care,Sex,Female,,For any reason,3.3,0.4,,,
1,Reduced access to hearing care,Sex,Female,,Due to pandemic,2.2,0.3,,,
1,Reduced access to hearing care,Education,High school graduate or less,1271,Total,,,,,
1,Reduced access to hearing care,Education,High school graduate or less,,For any reason,3.4,0.6,,,
1,Reduced access to hearing care,Education,High school graduate or less,,Due to pandemic,2.2,0.5,,,
1,Reduced access to hearing care,Education,Some college,2511,Total,,,,,
1,Reduced access to hearing care,Education,Some college,,For any reason,3.2,0.4,,,
1,Reduced access to hearing care,Education,Some college,,Due to pandemic,2,0.2,,,
1,Reduced access to hearing care,Education,Bachelor's degree or above,2894,Total,,,,,
1,Reduced access to hearing care,Education,Bachelor's degree or above,,For any reason,2.8,0.4,,,
1,Reduced access to hearing care,Education,Bachelor's degree or above,,Due to pandemic,2,0.3,,,
1,Reduced access to hearing care,Urbanization,Metropolitan,5956,Total,,,,,
1,Reduced access to hearing care,Urbanization,Metropolitan,,For any reason,3.1,0.4,,,
1,Reduced access to hearing care,Urbanization,Metropolitan,,Due to pandemic,2.1,0.3,,,
1,Reduced access to hearing care,Urbanization,Non-Metropolitan,720,Total,,,,,
1,Reduced access to hearing care,Urbanization,Non-Metropolitan,,For any reason,3.2,0.5,,,
1,Reduced access to hearing care,Urbanization,Non-Metropolitan,,Due to pandemic,2.1,0.5,,,
1,Reduced access to hearing care,Chronic conditions,One or more chronic conditions,3995,Total,,,,,
1,Reduced access to hearing care,Chronic conditions,One or more chronic conditions,,For any reason,3.9,0.4,,,
1,Reduced access to hearing care,Chronic conditions,One or more chronic conditions,,Due to pandemic,2.9,0.3,,,
1,Reduced access to hearing care,Chronic conditions,Diagnosed diabetes,757,Total,,,,,
1,Reduced access to hearing care,Chronic conditions,Diagnosed diabetes,,For any reason,4.8,1,,,
1,Reduced access to hearing care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,4.4,1,,,
1,Reduced access to hearing care,Chronic conditions,Diagnosed hypertension,2370,Total,,,,,
1,Reduced access to hearing care,Chronic conditions,Diagnosed hypertension,,For any reason,4.3,0.5,,,
1,Reduced access to hearing care,Chronic conditions,Diagnosed hypertension,,Due to pandemic,3.1,0.4,,,
1,Reduced access to hearing care,Chronic conditions,Current asthma,685,Total,,,,,
1,Reduced access to hearing care,Chronic conditions,Current asthma,,For any reason,2.6,0.6,,,
1,Reduced access to hearing care,Chronic conditions,Current asthma,,Due to pandemic,1.8,0.4,,,
2,Reduced access to hearing care,Total,Total,5900,Total,,,,,
2,Reduced access to hearing care,Total,Total,,For any reason,3.4,0.4,,0,
2,Reduced access to hearing care,Total,Total,,Due to pandemic,1.9,0.2,,0,
2,Reduced access to hearing care,Age group,18-44 years,2195,Total,,,,,
2,Reduced access to hearing care,Age group,18-44 years,,For any reason,3.2,0.5,,0,
2,Reduced access to hearing care,Age group,18-44 years,,Due to pandemic,1.6,0.3,,0,
2,Reduced access to hearing care,Age group,45-64 years,2054,Total,,,,,
2,Reduced access to hearing care,Age group,45-64 years,,For any reason,3.3,0.7,,0,
2,Reduced access to hearing care,Age group,45-64 years,,Due to pandemic,1.8,0.5,,0,
2,Reduced access to hearing care,Age group,65 years and over,1651,Total,,,,,
2,Reduced access to hearing care,Age group,65 years and over,,For any reason,3.7,0.6,,0,
2,Reduced access to hearing care,Age group,65 years and over,,Due to pandemic,2.8,0.5,,0,
2,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,4029,Total,,,,,
2,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,,For any reason,2.9,0.4,,0,
2,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,1.8,0.3,,0,
2,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,675,Total,,,,,
2,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,,For any reason,4.2,0.8,,0,
2,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,1.7,0.4,,0,
2,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,456,Total,,,,,
2,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,,For any reason,6.3,1.6,,0,
2,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,4.2,1.1,,1,
2,Reduced access to hearing care,Race/Hispanic origin,Hispanic,740,Total,,,,,
2,Reduced access to hearing care,Race/Hispanic origin,Hispanic,,For any reason,3.3,0.9,,0,
2,Reduced access to hearing care,Race/Hispanic origin,Hispanic,,Due to pandemic,1.6,0.8,,0,
2,Reduced access to hearing care,Sex,Male,2554,Total,,,,,
2,Reduced access to hearing care,Sex,Male,,For any reason,3.8,0.7,,0,
2,Reduced access to hearing care,Sex,Male,,Due to pandemic,2.6,0.5,,0,
2,Reduced access to hearing care,Sex,Female,3346,Total,,,,,
2,Reduced access to hearing care,Sex,Female,,For any reason,3,0.5,,0,
2,Reduced access to hearing care,Sex,Female,,Due to pandemic,1.3,0.2,,1,
2,Reduced access to hearing care,Education,High school graduate or less,1086,Total,,,,,
2,Reduced access to hearing care,Education,High school graduate or less,,For any reason,4.2,0.7,,0,
2,Reduced access to hearing care,Education,High school graduate or less,,Due to pandemic,2,0.5,,0,
2,Reduced access to hearing care,Education,Some college,2205,Total,,,,,
2,Reduced access to hearing care,Education,Some college,,For any reason,3.6,0.5,,0,
2,Reduced access to hearing care,Education,Some college,,Due to pandemic,2.2,0.4,,0,
2,Reduced access to hearing care,Education,Bachelor's degree or above,2609,Total,,,,,
2,Reduced access to hearing care,Education,Bachelor's degree or above,,For any reason,2.3,0.3,,0,
2,Reduced access to hearing care,Education,Bachelor's degree or above,,Due to pandemic,1.5,0.3,,0,
2,Reduced access to hearing care,Urbanization,Metropolitan,5248,Total,,,,,
2,Reduced access to hearing care,Urbanization,Metropolitan,,For any reason,3.3,0.4,,0,
2,Reduced access to hearing care,Urbanization,Metropolitan,,Due to pandemic,2,0.2,,0,
2,Reduced access to hearing care,Urbanization,Non-Metropolitan,652,Total,,,,,
2,Reduced access to hearing care,Urbanization,Non-Metropolitan,,For any reason,,,*,,
2,Reduced access to hearing care,Urbanization,Non-Metropolitan,,Due to pandemic,1.7,0.7,,0,
2,Reduced access to hearing care,Chronic conditions,One or more chronic conditions,3597,Total,,,,,
2,Reduced access to hearing care,Chronic conditions,One or more chronic conditions,,For any reason,4.4,0.6,,0,
2,Reduced access to hearing care,Chronic conditions,One or more chronic conditions,,Due to pandemic,2.9,0.5,,0,
2,Reduced access to hearing care,Chronic conditions,Diagnosed diabetes,682,Total,,,,,
2,Reduced access to hearing care,Chronic conditions,Diagnosed diabetes,,For any reason,8.1,1.8,,0,
2,Reduced access to hearing care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,,,*,,
2,Reduced access to hearing care,Chronic conditions,Diagnosed hypertension,2157,Total,,,,,
2,Reduced access to hearing care,Chronic conditions,Diagnosed hypertension,,For any reason,5,0.9,,0,
2,Reduced access to hearing care,Chronic conditions,Diagnosed hypertension,,Due to pandemic,2.8,0.7,,0,
2,Reduced access to hearing care,Chronic conditions,Current asthma,616,Total,,,,,
2,Reduced access to hearing care,Chronic conditions,Current asthma,,For any reason,,,*,,
2,Reduced access to hearing care,Chronic conditions,Current asthma,,Due to pandemic,2.6,1,,0,
3,Reduced access to hearing care,Total,Total,5396,Total,,,,,
3,Reduced access to hearing care,Total,Total,,For any reason,2.9,0.3,,0,0
3,Reduced access to hearing care,Total,Total,,Due to pandemic,0.7,0.1,,1,1
3,Reduced access to hearing care,Age group,18-44 years,1962,Total,,,,,
3,Reduced access to hearing care,Age group,18-44 years,,For any reason,3.8,0.6,,0,0
3,Reduced access to hearing care,Age group,18-44 years,,Due to pandemic,0.9,0.2,,0,0
3,Reduced access to hearing care,Age group,45-64 years,1714,Total,,,,,
3,Reduced access to hearing care,Age group,45-64 years,,For any reason,2.6,0.5,,0,0
3,Reduced access to hearing care,Age group,45-64 years,,Due to pandemic,0.6,0.2,,1,1
3,Reduced access to hearing care,Age group,65 years and over,1720,Total,,,,,
3,Reduced access to hearing care,Age group,65 years and over,,For any reason,1.7,0.3,,1,1
3,Reduced access to hearing care,Age group,65 years and over,,Due to pandemic,0.6,0.2,,1,1
3,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,3438,Total,,,,,
3,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,,For any reason,2.1,0.3,,0,0
3,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,0.4,0.1,,1,1
3,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,754,Total,,,,,
3,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,,For any reason,4.7,0.8,,0,0
3,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,1.5,0.5,,0,0
3,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,388,Total,,,,,
3,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,,For any reason,2,0.7,,0,1
3,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,1,0.6,,0,1
3,Reduced access to hearing care,Race/Hispanic origin,Hispanic,816,Total,,,,,
3,Reduced access to hearing care,Race/Hispanic origin,Hispanic,,For any reason,5.3,1.1,,0,0
3,Reduced access to hearing care,Race/Hispanic origin,Hispanic,,Due to pandemic,1.2,0.5,,1,0
3,Reduced access to hearing care,Sex,Male,2443,Total,,,,,
3,Reduced access to hearing care,Sex,Male,,For any reason,2.8,0.4,,0,0
3,Reduced access to hearing care,Sex,Male,,Due to pandemic,0.6,0.1,,1,1
3,Reduced access to hearing care,Sex,Female,2953,Total,,,,,
3,Reduced access to hearing care,Sex,Female,,For any reason,3,0.5,,0,0
